sequence,specialty,procedureNameEn,procedureNameAr,canonicalProcedureKey,aliases,anatomyRegion,illustrationType,figureLabsPrompt,imageFileName,imagePublicPath,certificatePath,imageReviewStatus,patientFacing,source,version,disclaimerEn,disclaimerAr,notes
42,Ophthalmology,Chalazion Curettage,كحت الكلازيون,chalazion-curettage,Chalazion Curettage | كحت الكلازيون,Eyelid and meibomian gland,anatomy_procedure_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Chalazion Curettage
Procedure (Arabic): كحت الكلازيون
Specialty: Ophthalmology
Anatomical region / focus: Eyelid and meibomian gland
Illustration type: anatomy_procedure_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Show the relevant human anatomy clearly and the basic concept of the procedure, including the instrument or treatment path when applicable.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",chalazion-curettage_anatomy_procedure_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/ophthalmology/chalazion-curettage/chalazion-curettage_anatomy_procedure_education_v1_draft.png,docs/clinical-illustrations/figurelabs/chalazion-curettage/chalazion-curettage_figurelabs_authorization_certificate_v1.pdf,draft,false,FigureLabs,v1,This illustration is for patient education only and does not replace the physician's explanation.,هذه الصورة لأغراض التثقيف فقط ولا تُغني عن شرح الطبيب المعالج.,Pending FigureLabs generation and medical review.
43,Plastic / Dermatologic Surgery,Chemabrasion and Dermabrasion,تقشير الجلد الكيميائي والميكانيكي,chemabrasion-and-dermabrasion,Chemabrasion and Dermabrasion | تقشير الجلد الكيميائي والميكانيكي,Anatomy specific to Chemabrasion and Dermabrasion,anatomy_procedure_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Chemabrasion and Dermabrasion
Procedure (Arabic): تقشير الجلد الكيميائي والميكانيكي
Specialty: Plastic / Dermatologic Surgery
Anatomical region / focus: Anatomy specific to Chemabrasion and Dermabrasion
Illustration type: anatomy_procedure_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Show the relevant human anatomy clearly and the basic concept of the procedure, including the instrument or treatment path when applicable.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",chemabrasion-and-dermabrasion_anatomy_procedure_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/plastic-dermatologic-surgery/chemabrasion-and-dermabrasion/chemabrasion-and-dermabrasion_anatomy_procedure_education_v1_draft.png,docs/clinical-illustrations/figurelabs/chemabrasion-and-dermabrasion/chemabrasion-and-dermabrasion_figurelabs_authorization_certificate_v1.pdf,draft,false,FigureLabs,v1,This illustration is for patient education only and does not replace the physician's explanation.,هذه الصورة لأغراض التثقيف فقط ولا تُغني عن شرح الطبيب المعالج.,Pending FigureLabs generation and medical review.
44,Gastroenterology / Hepatobiliary Surgery,Cholangiogram (Percutaneous) &or Biliary DrainStent,تصوير القنوات الصفراوية أو تصريف/دعامة صفراوية,cholangiogram-percutaneous-or-biliary-drainstent,Cholangiogram (Percutaneous) &or Biliary DrainStent | تصوير القنوات الصفراوية أو تصريف/دعامة صفراوية,Bile ducts and biliary tree,process_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Cholangiogram (Percutaneous) &or Biliary DrainStent
Procedure (Arabic): تصوير القنوات الصفراوية أو تصريف/دعامة صفراوية
Specialty: Gastroenterology / Hepatobiliary Surgery
Anatomical region / focus: Bile ducts and biliary tree
Illustration type: process_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Focus on the care pathway, device, instrument, or procedural steps rather than detailed internal organ anatomy.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",cholangiogram-percutaneous-or-biliary-drainstent_process_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/gastroenterology/cholangiogram-percutaneous-or-biliary-drainstent/cholangiogram-percutaneous-or-biliary-drainstent_process_education_v1_draft.png,docs/clinical-illustrations/figurelabs/cholangiogram-percutaneous-or-biliary-drainstent/cholangiogram-percutaneous-or-biliary-drainstent_figurelabs_authorization_certificate_v1.pdf,draft,false,FigureLabs,v1,This illustration is for patient education only and does not replace the physician's explanation.,هذه الصورة لأغراض التثقيف فقط ولا تُغني عن شرح الطبيب المعالج.,Pending FigureLabs generation and medical review.
45,General Surgery / Other,Cholecystectomy Laparoscopic,استئصال المرارة بالمنظار,laparoscopic-cholecystectomy,Laparoscopic Cholecystectomy | Cholecystectomy Laparoscopic | Lap Chole | استئصال المرارة بالمنظار,"Gallbladder, liver, bile ducts, upper right abdomen",anatomy_procedure_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Cholecystectomy Laparoscopic
Procedure (Arabic): استئصال المرارة بالمنظار
Specialty: General Surgery / Other
Anatomical region / focus: Gallbladder, liver, bile ducts, upper right abdomen
Illustration type: anatomy_procedure_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Show the relevant human anatomy clearly and the basic concept of the procedure, including the instrument or treatment path when applicable.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",laparoscopic_cholecystectomy_anatomy_procedure_education_v1_approved.png,apps/web/public/educational/clinical-illustrations/general-surgery/laparoscopic-cholecystectomy/laparoscopic_cholecystectomy_anatomy_procedure_education_v1_approved.png,docs/clinical-illustrations/figurelabs/laparoscopic-cholecystectomy/laparoscopic-cholecystectomy_figurelabs_authorization_certificate_v1.pdf,approved,true,FigureLabs,v1,This illustration is for patient education only and does not replace the physician's explanation.,هذه الصورة لأغراض التثقيف فقط ولا تُغني عن شرح الطبيب المعالج.,Approved FigureLabs educational illustration.
46,Gastroenterology / Hepatobiliary Surgery,Cholecystectomy Open,استئصال المرارة بالجراحة المفتوحة,cholecystectomy-open,Cholecystectomy Open | استئصال المرارة بالجراحة المفتوحة,"Gallbladder, liver, bile ducts, upper right abdomen",anatomy_procedure_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Cholecystectomy Open
Procedure (Arabic): استئصال المرارة بالجراحة المفتوحة
Specialty: Gastroenterology / Hepatobiliary Surgery
Anatomical region / focus: Gallbladder, liver, bile ducts, upper right abdomen
Illustration type: anatomy_procedure_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Show the relevant human anatomy clearly and the basic concept of the procedure, including the instrument or treatment path when applicable.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",cholecystectomy-open_anatomy_procedure_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/gastroenterology/cholecystectomy-open/cholecystectomy-open_anatomy_procedure_education_v1_draft.png,docs/clinical-illustrations/figurelabs/cholecystectomy-open/cholecystectomy-open_figurelabs_authorization_certificate_v1.pdf,draft,false,FigureLabs,v1,This illustration is for patient education only and does not replace the physician's explanation.,هذه الصورة لأغراض التثقيف فقط ولا تُغني عن شرح الطبيب المعالج.,Pending FigureLabs generation and medical review.
47,Gastroenterology / Hepatobiliary Surgery,Cholecystectomy Open and Exploration of the Common Bile Duct,Cholecystectomy Open and Exploration of the Common Bile Duct,cholecystectomy-open-and-exploration-of-the-common-bile-duct,Cholecystectomy Open and Exploration of the Common Bile Duct | Cholecystectomy Open and Exploration of the Common Bile Duct,"Gallbladder, liver, bile ducts, upper right abdomen",anatomy_procedure_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Cholecystectomy Open and Exploration of the Common Bile Duct
Procedure (Arabic): Cholecystectomy Open and Exploration of the Common Bile Duct
Specialty: Gastroenterology / Hepatobiliary Surgery
Anatomical region / focus: Gallbladder, liver, bile ducts, upper right abdomen
Illustration type: anatomy_procedure_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Show the relevant human anatomy clearly and the basic concept of the procedure, including the instrument or treatment path when applicable.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",cholecystectomy-open-and-exploration-of-the-common-bile-duct_anatomy_procedure_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/gastroenterology/cholecystectomy-open-and-exploration-of-the-common-bile-duct/cholecystectomy-open-and-exploration-of-the-common-bile-duct_anatomy_procedure_education_v1_draft.png,docs/clinical-illustrations/figurelabs/cholecystectomy-open-and-exploration-of-the-common-bile-duct/cholecystectomy-open-and-exploration-of-the-common-bile-duct_figurelabs_authorization_certificate_v1.pdf,draft,false,FigureLabs,v1,This illustration is for patient education only and does not replace the physician's explanation.,هذه الصورة لأغراض التثقيف فقط ولا تُغني عن شرح الطبيب المعالج.,Arabic translation requires clinical review. Pending FigureLabs generation and medical review.
48,Gastroenterology / Hepatobiliary Surgery,Cholecystoduodenostomy - Enterostomy,Cholecystoduodenostomy - Enterostomy,cholecystoduodenostomy-enterostomy,Cholecystoduodenostomy - Enterostomy | Cholecystoduodenostomy - Enterostomy,Anatomy specific to Cholecystoduodenostomy - Enterostomy,anatomy_procedure_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Cholecystoduodenostomy - Enterostomy
Procedure (Arabic): Cholecystoduodenostomy - Enterostomy
Specialty: Gastroenterology / Hepatobiliary Surgery
Anatomical region / focus: Anatomy specific to Cholecystoduodenostomy - Enterostomy
Illustration type: anatomy_procedure_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Show the relevant human anatomy clearly and the basic concept of the procedure, including the instrument or treatment path when applicable.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",cholecystoduodenostomy-enterostomy_anatomy_procedure_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/gastroenterology/cholecystoduodenostomy-enterostomy/cholecystoduodenostomy-enterostomy_anatomy_procedure_education_v1_draft.png,docs/clinical-illustrations/figurelabs/cholecystoduodenostomy-enterostomy/cholecystoduodenostomy-enterostomy_figurelabs_authorization_certificate_v1.pdf,draft,false,FigureLabs,v1,This illustration is for patient education only and does not replace the physician's explanation.,هذه الصورة لأغراض التثقيف فقط ولا تُغني عن شرح الطبيب المعالج.,Arabic translation requires clinical review. Pending FigureLabs generation and medical review.
49,Urology,Circumcision - (Adult),ختان البالغين,circumcision-adult,Circumcision - (Adult) | ختان البالغين,Penis and foreskin,anatomy_procedure_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Circumcision - (Adult)
Procedure (Arabic): ختان البالغين
Specialty: Urology
Anatomical region / focus: Penis and foreskin
Illustration type: anatomy_procedure_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Show the relevant human anatomy clearly and the basic concept of the procedure, including the instrument or treatment path when applicable.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",circumcision-adult_anatomy_procedure_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/urology/circumcision-adult/circumcision-adult_anatomy_procedure_education_v1_draft.png,docs/clinical-illustrations/figurelabs/circumcision-adult/circumcision-adult_figurelabs_authorization_certificate_v1.pdf,draft,false,FigureLabs,v1,This illustration is for patient education only and does not replace the physician's explanation.,هذه الصورة لأغراض التثقيف فقط ولا تُغني عن شرح الطبيب المعالج.,Pending FigureLabs generation and medical review.
50,Urology,Circumcision (Child-Young Person),ختان الأطفال,circumcision-child-young-person,Circumcision (Child-Young Person) | ختان الأطفال,Penis and foreskin,anatomy_procedure_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Circumcision (Child-Young Person)
Procedure (Arabic): ختان الأطفال
Specialty: Urology
Anatomical region / focus: Penis and foreskin
Illustration type: anatomy_procedure_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Show the relevant human anatomy clearly and the basic concept of the procedure, including the instrument or treatment path when applicable.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",circumcision-child-young-person_anatomy_procedure_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/urology/circumcision-child-young-person/circumcision-child-young-person_anatomy_procedure_education_v1_draft.png,docs/clinical-illustrations/figurelabs/circumcision-child-young-person/circumcision-child-young-person_figurelabs_authorization_certificate_v1.pdf,draft,false,FigureLabs,v1,This illustration is for patient education only and does not replace the physician's explanation.,هذه الصورة لأغراض التثقيف فقط ولا تُغني عن شرح الطبيب المعالج.,Pending FigureLabs generation and medical review.
51,Neurosurgery / Neuro-interventional Radiology,Coiling embolisation of Intracranial Aneurysm,Coiling embolisation of Intracranial Aneurysm,coiling-embolisation-of-intracranial-aneurysm,Coiling embolisation of Intracranial Aneurysm | Coiling embolisation of Intracranial Aneurysm,Target artery/vein and embolization material,process_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Coiling embolisation of Intracranial Aneurysm
Procedure (Arabic): Coiling embolisation of Intracranial Aneurysm
Specialty: Neurosurgery / Neuro-interventional Radiology
Anatomical region / focus: Target artery/vein and embolization material
Illustration type: process_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Focus on the care pathway, device, instrument, or procedural steps rather than detailed internal organ anatomy.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",coiling-embolisation-of-intracranial-aneurysm_process_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/neurosurgery-neuro-interventional-radiology/coiling-embolisation-of-intracranial-aneurysm/coiling-embolisation-of-intracranial-aneurysm_process_education_v1_draft.png,docs/clinical-illustrations/figurelabs/coiling-embolisation-of-intracranial-aneurysm/coiling-embolisation-of-intracranial-aneurysm_figurelabs_authorization_certificate_v1.pdf,draft,false,FigureLabs,v1,This illustration is for patient education only and does not replace the physician's explanation.,هذه الصورة لأغراض التثقيف فقط ولا تُغني عن شرح الطبيب المعالج.,Arabic translation requires clinical review. Pending FigureLabs generation and medical review.
52,Gastroenterology / Hepatobiliary Surgery,Colonoscopy,تنظير القولون,colonoscopy,Colonoscopy | تنظير القولون,Large intestine and rectum,anatomy_procedure_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Colonoscopy
Procedure (Arabic): تنظير القولون
Specialty: Gastroenterology / Hepatobiliary Surgery
Anatomical region / focus: Large intestine and rectum
Illustration type: anatomy_procedure_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Show the relevant human anatomy clearly and the basic concept of the procedure, including the instrument or treatment path when applicable.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",colonoscopy_anatomy_procedure_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/gastroenterology/colonoscopy/colonoscopy_anatomy_procedure_education_v1_draft.png,docs/clinical-illustrations/figurelabs/colonoscopy/colonoscopy_figurelabs_authorization_certificate_v1.pdf,approved,true,FigureLabs,v1,This illustration is for patient education only and does not replace the physician's explanation.,هذه الصورة لأغراض التثقيف فقط ولا تُغني عن شرح الطبيب المعالج.,Image integrated from FigureLabs separated package; authorization certificate pending.
53,General Surgery / Other,Colposuspension,تعليق عنق الرحم,colposuspension,Colposuspension | تعليق عنق الرحم,Anatomy specific to Colposuspension,anatomy_procedure_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Colposuspension
Procedure (Arabic): تعليق عنق الرحم
Specialty: General Surgery / Other
Anatomical region / focus: Anatomy specific to Colposuspension
Illustration type: anatomy_procedure_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Show the relevant human anatomy clearly and the basic concept of the procedure, including the instrument or treatment path when applicable.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",colposuspension_anatomy_procedure_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/general-surgery/colposuspension/colposuspension_anatomy_procedure_education_v1_draft.png,docs/clinical-illustrations/figurelabs/colposuspension/colposuspension_figurelabs_authorization_certificate_v1.pdf,draft,false,FigureLabs,v1,This illustration is for patient education only and does not replace the physician's explanation.,هذه الصورة لأغراض التثقيف فقط ولا تُغني عن شرح الطبيب المعالج.,Pending FigureLabs generation and medical review.
54,Urology,Colposuspension & Cystoscopy,Colposuspension & Cystoscopy,colposuspension-cystoscopy,Colposuspension & Cystoscopy | Colposuspension & Cystoscopy,"Bladder, urethra, and ureteric orifices",anatomy_procedure_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Colposuspension & Cystoscopy
Procedure (Arabic): Colposuspension & Cystoscopy
Specialty: Urology
Anatomical region / focus: Bladder, urethra, and ureteric orifices
Illustration type: anatomy_procedure_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Show the relevant human anatomy clearly and the basic concept of the procedure, including the instrument or treatment path when applicable.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",colposuspension-cystoscopy_anatomy_procedure_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/urology/colposuspension-cystoscopy/colposuspension-cystoscopy_anatomy_procedure_education_v1_draft.png,docs/clinical-illustrations/figurelabs/colposuspension-cystoscopy/colposuspension-cystoscopy_figurelabs_authorization_certificate_v1.pdf,draft,false,FigureLabs,v1,This illustration is for patient education only and does not replace the physician's explanation.,هذه الصورة لأغراض التثقيف فقط ولا تُغني عن شرح الطبيب المعالج.,Arabic translation requires clinical review. Pending FigureLabs generation and medical review.
55,Obstetrics & Gynecology,Cone Biopsy,خزعة مخروطية من عنق الرحم,cone-biopsy,Cone Biopsy | خزعة مخروطية من عنق الرحم,Cervix and transformation zone,anatomy_procedure_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Cone Biopsy
Procedure (Arabic): خزعة مخروطية من عنق الرحم
Specialty: Obstetrics & Gynecology
Anatomical region / focus: Cervix and transformation zone
Illustration type: anatomy_procedure_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Show the relevant human anatomy clearly and the basic concept of the procedure, including the instrument or treatment path when applicable.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",cone-biopsy_anatomy_procedure_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/obstetrics-gynecology/cone-biopsy/cone-biopsy_anatomy_procedure_education_v1_draft.png,docs/clinical-illustrations/figurelabs/cone-biopsy/cone-biopsy_figurelabs_authorization_certificate_v1.pdf,draft,false,FigureLabs,v1,This illustration is for patient education only and does not replace the physician's explanation.,هذه الصورة لأغراض التثقيف فقط ولا تُغني عن شرح الطبيب المعالج.,Pending FigureLabs generation and medical review.
56,Anesthesia / Pain / Critical Care,Consent for Anesthesia - Patient Education,Consent for Anesthesia - Patient Education,consent-for-anesthesia-patient-education,Consent for Anesthesia - Patient Education | Consent for Anesthesia - Patient Education,"Airway, lungs, and anesthesia monitoring setup",process_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Consent for Anesthesia - Patient Education
Procedure (Arabic): Consent for Anesthesia - Patient Education
Specialty: Anesthesia / Pain / Critical Care
Anatomical region / focus: Airway, lungs, and anesthesia monitoring setup
Illustration type: process_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Focus on the care pathway, device, instrument, or procedural steps rather than detailed internal organ anatomy.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",consent-for-anesthesia-patient-education_process_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/anesthesia/consent-for-anesthesia-patient-education/consent-for-anesthesia-patient-education_process_education_v1_draft.png,docs/clinical-illustrations/figurelabs/consent-for-anesthesia-patient-education/consent-for-anesthesia-patient-education_figurelabs_authorization_certificate_v1.pdf,draft,false,FigureLabs,v1,This illustration is for patient education only and does not replace the physician's explanation.,هذه الصورة لأغراض التثقيف فقط ولا تُغني عن شرح الطبيب المعالج.,Arabic translation requires clinical review. Pending FigureLabs generation and medical review.
57,"Ear, Nose and Throat",Consent for Tympanoplasty with or without mastoidectomy,Consent for Tympanoplasty with or without mastoidectomy,consent-for-tympanoplasty-with-or-without-mastoidectomy,Consent for Tympanoplasty with or without mastoidectomy | Consent for Tympanoplasty with or without mastoidectomy,Tympanic membrane and middle ear,anatomy_procedure_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Consent for Tympanoplasty with or without mastoidectomy
Procedure (Arabic): Consent for Tympanoplasty with or without mastoidectomy
Specialty: Ear, Nose and Throat
Anatomical region / focus: Tympanic membrane and middle ear
Illustration type: anatomy_procedure_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Show the relevant human anatomy clearly and the basic concept of the procedure, including the instrument or treatment path when applicable.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",consent-for-tympanoplasty-with-or-without-mastoidectomy_anatomy_procedure_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/ent/consent-for-tympanoplasty-with-or-without-mastoidectomy/consent-for-tympanoplasty-with-or-without-mastoidectomy_anatomy_procedure_education_v1_draft.png,docs/clinical-illustrations/figurelabs/consent-for-tympanoplasty-with-or-without-mastoidectomy/consent-for-tympanoplasty-with-or-without-mastoidectomy_figurelabs_authorization_certificate_v1.pdf,draft,false,FigureLabs,v1,This illustration is for patient education only and does not replace the physician's explanation.,هذه الصورة لأغراض التثقيف فقط ولا تُغني عن شرح الطبيب المعالج.,Arabic translation requires clinical review. Pending FigureLabs generation and medical review.
58,General Surgery / Other,Consent Form Bariatric,Consent Form Bariatric,consent-form-bariatric,Consent Form Bariatric | Consent Form Bariatric,Stomach and bariatric surgical anatomy,anatomy_procedure_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Consent Form Bariatric
Procedure (Arabic): Consent Form Bariatric
Specialty: General Surgery / Other
Anatomical region / focus: Stomach and bariatric surgical anatomy
Illustration type: anatomy_procedure_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Show the relevant human anatomy clearly and the basic concept of the procedure, including the instrument or treatment path when applicable.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",consent-form-bariatric_anatomy_procedure_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/general-surgery/consent-form-bariatric/consent-form-bariatric_anatomy_procedure_education_v1_draft.png,docs/clinical-illustrations/figurelabs/consent-form-bariatric/consent-form-bariatric_figurelabs_authorization_certificate_v1.pdf,draft,false,FigureLabs,v1,This illustration is for patient education only and does not replace the physician's explanation.,هذه الصورة لأغراض التثقيف فقط ولا تُغني عن شرح الطبيب المعالج.,Arabic translation requires clinical review. Pending FigureLabs generation and medical review.
59,Plastic / Dermatologic Surgery,Consent Form - Botulinium,Consent Form - Botulinium,consent-form-botulinium,Consent Form - Botulinium | Consent Form - Botulinium,Facial muscles and injection sites,anatomy_procedure_education,"Create a patient-friendly, non-graphic, non-bloody medical illustration for informed consent education.

Procedure (English): Consent Form - Botulinium
Procedure (Arabic): Consent Form - Botulinium
Specialty: Plastic / Dermatologic Surgery
Anatomical region / focus: Facial muscles and injection sites
Illustration type: anatomy_procedure_education

Requirements:
- Clean, professional, hospital-grade patient education style
- Show the relevant human anatomy clearly and the basic concept of the procedure, including the instrument or treatment path when applicable.
- Use soft clinical colors on a white or very light background
- Label the main anatomical structures or steps clearly in English
- Leave adequate space for Arabic label overlays
- Include short callout labels for the procedural target or key step
- Do not include any patient-identifiable information, hospital logos, watermarks, or frightening imagery
- Landscape orientation, high resolution, suitable for informed consent display
- Include a blank area at the bottom for the informed consent disclaimer",consent-form-botulinium_anatomy_procedure_education_v1_draft.png,apps/web/public/educational/clinical-illustrations/plastic-dermatologic-surgery/consent-form-botulinium/consent-form-botulinium_anatomy_procedure_education_v1_draft.png,docs/clinical-illustrations/figurelabs/consent-form-botulinium/consent-form-botulinium_figurelabs_authorization_certificate_v1.pdf,draft,false,FigureLabs,v1,This illustration is for patient education only and does not replace the physician's explanation.,هذه الصورة لأغراض التثقيف فقط ولا تُغني عن شرح الطبيب المعالج.,Arabic translation requires clinical review. Pending FigureLabs generation and medical review.
